Date,SPL_OUT (cfs),FKC_OUT (cfs),MC_OUT (cfs),SJR_OUT_Scenario_B (cfs),M_IN (cfs),MIL_EVAP (cfs),Modified_Storage_AF,Modified_WSElevation_ft,SPL_OUT_OBSERVED,Observed_Storage_AF,SJR_OUT_OBSERVED,,,
1/1/2023,0,1995,105,640,1909.00,5.52,"354,724",540.73,0,354724.00,640,0,,
1/2/2023,0,2059,105,650,1849.00,4.96,"352,800",540.28,0,352799.00,650,0,,
1/3/2023,0,2198,128,650,1716.00,8.23,"350,285",539.60,0,350290.00,650,0,,
1/4/2023,0,2333,162,649,342.00,9.41,"344,708",538.16,0,344716.00,649,0,,
1/5/2023,0,2371,170,648,669.00,6.71,"339,697",536.86,0,339699.00,648,0,,
1/6/2023,0,2400,170,646,657.00,0.64,"334,620",535.51,0,334610.00,646,0,,
1/7/2023,0,2409,167,647,605.00,4.59,"329,418",534.20,0,329416.00,647,0,,
1/8/2023,0,2381,165,650,891.00,7.04,"324,832",532.97,0,324835.00,650,0,,
1/9/2023,0,2375,164,652,1076.00,12.67,"320,612",531.83,0,320626.00,652,0,,
1/10/2023,0,2243,163,652,631.00,0.82,"315,796",530.52,0,315787.00,652,0,,
1/11/2023,0,2207,151,651,491.00,7.55,"310,787",529.18,0,310791.00,651,0,,
1/12/2023,0,1721,145,650,703.00,9.07,"307,173",528.19,0,307180.00,650,0,,
1/13/2023,0,1544,142,650,1067.00,0.91,"304,654",527.45,0,304645.00,650,0,,
1/14/2023,0,1301,142,649,1075.00,2.09,"302,633",526.92,0,302626.00,649,0,,
1/15/2023,0,1090,141,649,903.00,4.90,"300,685",526.35,0,300684.00,649,0,,
1/16/2023,0,1044,141,648,883.00,13.99,"298,773",525.85,0,298790.00,648,0,,
1/17/2023,0,1191,137,649,965.00,5.81,"296,754",525.32,0,296755.00,649,0,,
1/18/2023,0,1149,135,649,813.00,10.93,"294,511",524.64,0,294522.00,649,0,,
1/19/2023,0,1213,141,647,872.00,3.03,"292,266",524.03,0,292261.00,647,0,,
1/20/2023,0,1224,149,649,872.00,2.30,"289,980",523.34,0,289974.00,649,0,,
1/21/2023,0,957,148,650,753.00,9.33,"287,974",522.80,0,287982.00,650,0,,
1/22/2023,0,746,148,650,849.00,10.08,"286,576",522.37,0,286585.00,650,0,,
1/23/2023,0,649,148,650,722.00,6.99,"285,124",522.00,0,285127.00,650,0,,
1/24/2023,0,713,148,649,853.00,8.13,"283,805",521.59,0,283810.00,649,0,,
1/25/2023,0,758,148,648,882.00,18.82,"282,434",521.24,0,282461.00,648,0,,
1/26/2023,0,698,149,637,861.00,10.89,"281,177",520.85,0,281188.00,637,0,,
1/27/2023,0,652,121,592,543.00,16.65,"279,514",520.33,0,279536.00,592,0,,
1/28/2023,0,599,19,556,569.00,10.15,"278,294",520.02,0,278303.00,556,0,,
1/29/2023,0,554,0,525,830.00,10.72,"277,778",519.86,0,277789.00,525,0,,
1/30/2023,0,636,0,495,935.00,2.07,"277,386",519.74,0,277379.00,495,0,,
1/31/2023,0,731,0,472,1015.00,6.93,"276,999",519.62,0,277002.00,472,0,,
2/1/2023,0,780,0,451,1428.00,7.72,"277,374",519.74,0,277379.00,451,431,,
2/2/2023,0,796,0,446,1405.00,8.44,"277,681",519.83,0,277687.00,446,343,,
2/3/2023,0,766,0,446,1531.00,11.22,"278,291",520.02,0,278303.00,446,340,,
2/4/2023,0,686,0,446,936.00,6.50,"277,890",519.90,0,277892.00,446,305,,
2/5/2023,0,614,0,447,947.00,11.08,"277,642",519.82,0,277653.00,447,256,,
2/6/2023,0,593,0,446,981.00,10.50,"277,506",519.78,0,277516.00,446,209,,
2/7/2023,0,865,0,414,806.00,19.13,"276,530",519.47,0,276557.00,414,158,,
2/8/2023,0,987,0,395,782.00,20.44,"275,299",519.13,0,275329.00,395,139,,
2/9/2023,0,907,0,385,353.00,24.19,"273,389",518.53,0,273426.00,385,139,,
2/10/2023,0,850,0,387,272.00,15.26,"271,444",517.99,0,271464.00,387,138,,
2/11/2023,0,683,0,387,269.00,23.82,"269,808",517.47,0,269845.00,387,108,,
2/12/2023,0,535,0,387,606.00,22.17,"269,137",517.34,0,269171.00,387,89,,
2/13/2023,0,642,0,387,1153.00,11.36,"269,361",517.33,0,269373.00,387,89,,
2/14/2023,0,781,0,387,774.00,10.26,"268,559",517.15,0,268569.00,387,88,,
2/15/2023,0,903,0,395,431.00,10.55,"266,818",516.59,0,266829.00,395,-62,,
2/16/2023,0,1055,0,400,976.00,25.24,"265,818",516.35,0,265858.00,400,-61,,
2/17/2023,0,980,0,400,1439.00,18.80,"265,898",516.30,0,265925.00,400,-60,,
2/18/2023,0,881,0,400,1688.00,21.86,"266,662",516.54,0,266695.00,400,-61,,
2/19/2023,0,770,0,400,1816.00,8.25,"267,927",516.95,0,267933.00,400,-61,,
2/20/2023,0,895,0,400,1455.00,11.54,"268,221",517.04,0,268234.00,400,-92,,
2/21/2023,0,1048,0,400,1274.00,8.42,"267,860",516.93,0,267866.00,400,-109,,
2/22/2023,0,1227,0,400,1585.00,11.40,"267,754",516.89,0,267766.00,400,-129,,
2/23/2023,0,1352,0,421,1919.00,14.08,"268,015",516.98,0,268033.00,421,-129,,
2/24/2023,0,1325,0,903,1871.00,13.76,"267,280",516.74,0,267297.00,903,-129,,
2/25/2023,0,945,0,1003,1810.00,-384.42,"267,769",516.90,0,266996.00,1003,-129,,
2/26/2023,0,986,0,400,1626.00,36.60,"268,172",517.03,0,268234.00,400,-129,,
2/27/2023,0,532,0,499,1422.00,20.20,"268,908",517.26,0,268937.00,499,-130,,
2/28/2023,0,227,0,574,1041.00,6.61,"269,371",517.33,0,269373.00,574,-130,,
3/1/2023,0,72,0,648,1016.00,60.45,"269,838",517.48,0,269947.00,648,-169,,
3/2/2023,0,72,0,648,1154.00,18.69,"270,661",517.74,0,270688.00,648,-319,,
3/3/2023,0,77,0,681,1542.00,7.33,"272,202",518.23,0,272206.00,681,-319,,
3/4/2023,0,58,0,701,545.00,2.69,"271,772",518.09,0,271767.00,701,-319,,
3/5/2023,0,68,0,667,1078.00,22.66,"272,408",518.30,0,272442.00,667,-319,,
3/6/2023,0,49,0,651,1613.00,15.08,"274,189",518.78,0,274208.00,651,-319,,
3/7/2023,0,105,0,642,1722.00,18.53,"276,086",519.33,0,276112.00,642,-319,,
3/8/2023,0,64,0,631,1680.00,26.88,"277,986",519.93,0,278029.00,631,493,,
3/9/2023,0,106,0,631,1628.00,5.55,"279,742",520.40,0,279743.00,631,1724,,
3/10/2023,0,0,0,631,1417.00,49.87,"281,202",520.86,0,281291.00,631,1791,,
3/11/2023,0,0,0,631,1427.00,18.36,"282,745",521.33,0,282771.00,631,4354,,
3/12/2023,0,0,0,631,1575.00,21.17,"284,575",521.83,0,284607.00,631,5256,,
3/13/2023,0,0,0,632,1300.00,15.79,"285,869",522.23,0,285890.00,632,5305,,
3/14/2023,0,84,0,632,1364.00,19.29,"287,116",522.54,0,287144.00,632,5119,,
3/15/2023,0,101,0,600,1231.00,16.99,"288,133",522.85,0,288157.00,600,5167,,
3/16/2023,0,100,0,580,820.00,26.93,"288,358",522.92,0,288401.00,580,5625,,
3/17/2023,0,117,0,580,1340.00,19.56,"289,594",523.29,0,289623.00,580,6579,,
3/18/2023,0,100,0,580,1480.00,10.29,"291,161",523.70,0,291171.00,580,7043,,
3/19/2023,0,100,0,581,1988.00,14.42,"293,724",524.40,0,293743.00,581,7302,,
3/20/2023,0,100,0,583,1555.00,17.56,"295,419",524.91,0,295444.00,583,7522,,
3/21/2023,0,132,0,616,1123.00,24.10,"296,115",525.12,0,296153.00,616,7499,,
3/22/2023,0,149,0,662,1067.00,38.80,"296,546",525.25,0,296613.00,662,7596,,
3/23/2023,0,149,0,662,1785.00,8.96,"298,460",525.75,0,298468.00,662,7921,,
3/24/2023,0,165,0,662,1628.00,34.09,"299,981",526.21,0,300039.00,662,7964,,
3/25/2023,0,165,0,662,1821.00,24.43,"341,000",537.22,0,301943.00,662,7917,,Set-based on starting profile March 26th 2025
3/26/2023,0,165,0,671,1658.00,36.98,"342,557",537.57,0,303525.00,671,7948,,
3/27/2023,0,164,0,678,1006.00,7.42,"342,868",537.66,0,303777.00,678,8012,,
3/28/2023,0,164,0,679,1708.00,15.82,"344,552",538.12,0,305478.00,679,8015,,
3/29/2023,0,131,0,679,1757.00,17.42,"346,396",538.56,0,307325.00,679,7717,,
3/30/2023,0,114,0,680,2577.00,10.62,"349,911",539.50,0,310827.00,680,7526,,
3/31/2023,0,98,0,680,2529.00,18.83,"353,347",540.36,0,314279.00,680,7489,,
4/1/2023,0,130,0,1010,2783.00,26.29,"356,554",541.23,0,317923.00,797,7416,,
4/2/2023,0,130,0,1060,2507.00,24.33,"359,118",541.85,0,320737.00,932,7365,,
4/3/2023,0,129,0,1001,2379.00,27.81,"361,540",542.43,0,323303.00,932,7508,,
4/4/2023,0,194,0,910,2547.00,35.09,"364,332",543.17,0,325993.00,969,7577,,
4/5/2023,0,209,0,835,2320.00,25.86,"366,812",543.76,0,328137.00,995,7558,,
4/6/2023,0,234,0,810,2312.00,42.53,"369,243",544.34,0,330095.00,1065,7532,,
4/7/2023,0,260,0,730,2492.00,44.51,"372,134",545.10,0,332254.00,1101,7985,,
4/8/2023,0,193,0,750,2431.00,48.43,"374,989",545.78,0,334419.00,1102,8361,,
4/9/2023,0,159,0,950,2292.00,33.13,"377,270",546.31,0,336364.00,1104,8376,,
4/10/2023,0,158,0,950,2008.00,0.74,"379,053",546.77,0,337778.00,1104,8407,,
4/11/2023,0,229,0,950,2467.00,34.03,"381,540",547.35,0,340121.00,1056,8471,,
4/12/2023,0,235,0,950,2356.00,8.33,"383,847",547.94,0,342279.00,999,8452,,
4/13/2023,0,235,0,950,1809.00,46.05,"384,993",548.23,0,343401.00,1000,8399,,
4/14/2023,0,189,0,950,1899.00,26.24,"386,448",548.54,0,344716.00,1001,8400,,
4/15/2023,0,189,0,950,2157.00,14.59,"388,439",549.05,0,346582.00,1001,8395,,
4/16/2023,0,110,0,750,1481.00,39.92,"317,000",530.87,0,347283.00,1003,8436,,
4/17/2023,0,110,0,620,1408.00,29.76,"318,286",531.24,0,347789.00,1003,8431,,
4/18/2023,0,110,0,560,2384.00,33.39,"321,619",532.12,0,350251.00,1003,8382,,
4/19/2023,0,204,0,560,1439.00,22.75,"322,913",532.42,0,350643.00,1004,8564,,
4/20/2023,0,219,0,560,1641.00,18.90,"324,585",532.90,0,351427.00,1004,8663,,
4/21/2023,0,157,0,560,1550.00,24.95,"326,188",533.28,0,352054.00,1058,8187,,
4/22/2023,0,125,0,560,1861.00,14.78,"328,491",533.93,0,353270.00,1098,7764,,
4/23/2023,0,78,0,560,1941.00,42.12,"330,992",534.57,0,354645.00,1155,8218,,
4/24/2023,0,109,0,560,2001.00,40.33,"333,554",535.29,0,355942.00,1196,8668,,
4/25/2023,0,156,0,560,2567.00,42.13,"337,142",536.22,0,358270.00,1197,8611,,
4/26/2023,0,171,0,500,2549.00,32.23,"340,803",537.16,0,360525.00,1199,8698,,
4/27/2023,0,156,0,500,2150.00,35.88,"343,695",537.88,0,362036.00,1200,8804,,
4/28/2023,0,139,0,500,1939.00,34.04,"346,206",538.51,0,363151.00,1202,8792,,
4/29/2023,0,185,0,480,2023.00,45.21,"348,810",539.22,0,364226.00,1262,8540,,
4/30/2023,0,185,0,480,1935.00,35.85,"351,258",539.86,0,365023.00,1303,8605,,
5/1/2023,0,185,0,480,1726.00,35.18,"353,293",540.35,0,365424.00,1303,8682,,
5/2/2023,0,293,0,525,2097.00,48.20,"355,734",541.01,0,366346.00,1304,8571,,
5/3/2023,0,370,0,525,1702.00,52.69,"357,230",541.34,0,366306.00,1304,8463,,
5/4/2023,0,278,0,525,2221.00,55.87,"359,932",542.06,0,367469.00,1304,8387,,
5/5/2023,0,138,0,525,1884.00,46.52,"362,261",542.62,0,368110.00,1367,8156,,
5/6/2023,0,185,0,525,1934.00,54.70,"364,581",543.24,0,368712.00,1399,6970,,
5/7/2023,0,185,0,525,1806.00,30.53,"366,694",543.73,0,368913.00,1465,5866,,
5/8/2023,0,185,0,525,1531.00,35.52,"368,252",544.14,0,368551.00,1498,4461,,
5/9/2023,0,246,0,525,1901.00,53.00,"370,388",544.64,0,368792.00,1498,3503,,
5/10/2023,0,215,0,525,2254.00,37.35,"373,317",545.34,0,369760.00,1498,3062,,
5/11/2023,0,214,0,525,1892.00,41.14,"375,522",545.91,0,370043.00,1498,2212,,
5/12/2023,0,153,0,525,2405.00,42.01,"378,864",546.72,0,371455.00,1499,2587,,
5/13/2023,0,153,0,525,1999.00,43.86,"381,398",547.31,0,372060.00,1499,3459,,
5/14/2023,0,153,0,525,1716.00,54.81,"383,348",547.81,0,372100.00,1499,5581,,
5/15/2023,0,153,0,525,2340.00,51.29,"451,842",563.43,0,"451,842",,7796,,
5/16/2023,0,245,0,525,2370.00,53.18,"454,910",564.33,0,374492.00,1500,8530,,
5/17/2023,0,243,0,525,1961.00,32.75,"457,211",564.86,0,374817.00,1501,8507,,
5/18/2023,0,243,0,525,1326.00,32.55,"458,254",565.11,0,373923.00,1501,8483,,
5/19/2023,0,214,0,525,1501.00,46.23,"459,673",565.38,0,373436.00,1500,8741,,
5/20/2023,0,153,0,525,1433.00,51.14,"461,069",565.70,0,372908.00,1500,9338,,
5/21/2023,0,153,0,525,2175.00,52.73,"463,934",566.30,0,373842.00,1500,9553,,
5/22/2023,0,153,0,525,2833.00,41.37,"468,126",567.26,0,376076.00,1501,9404,,
5/23/2023,0,287,0,525,1769.00,79.13,"469,868",567.59,0,375873.00,1543,9459,,
5/24/2023,0,359,0,525,1485.00,58.44,"470,944",567.84,0,374776.00,1600,9520,,
5/25/2023,0,453,0,525,1579.00,51.74,"472,033",568.09,0,373720.00,1600,9553,,
5/26/2023,0,453,0,525,1776.00,47.55,"473,522",568.37,0,373070.00,1599,9486,,
5/27/2023,0,311,0,525,1713.00,46.56,"475,169",568.74,0,372585.00,1599,9489,,
5/28/2023,0,245,0,525,1585.00,38.89,"476,708",569.09,0,371979.00,1599,9494,,
5/29/2023,0,214,0,375,1505.00,50.89,"478,424",569.44,0,371293.00,1598,9511,,
5/30/2023,0,275,0,375,1639.00,44.06,"480,298",569.86,0,370728.00,1598,9564,,
5/31/2023,0,495,0,375,1709.00,34.04,"481,895",570.22,0,369881.00,1597,9598,,
6/1/2023,0,480,0,215,1928.00,69.88,"484,202",570.68,0,369518.00,1597,9585,,
6/2/2023,0,471,0,215,2158.00,52.05,"487,019",571.25,0,369558.00,1597,9235,,
6/3/2023,0,353,0,215,1819.00,44.21,"489,412",571.79,0,369195.00,1597,8633,,
6/4/2023,0,186,0,215,1685.00,48.37,"491,863",572.27,0,368913.00,1597,8680,,
6/5/2023,0,244,0,215,1726.00,55.54,"494,266",572.81,0,368591.00,1596,8801,,
6/6/2023,0,337,0,215,1746.00,60.21,"496,515",573.25,0,368110.00,1596,8064,,
6/7/2023,0,476,0,215,1930.00,48.53,"498,876",573.76,0,367709.00,1596,7629,,
6/8/2023,0,498,0,215,2082.00,54.70,"501,483",574.28,0,367589.00,1596,7630,,
6/9/2023,0,455,0,215,2182.00,54.20,"504,374",574.91,0,367669.00,1632,7068,,
6/10/2023,0,261,0,215,2060.00,80.56,"507,356",575.51,0,367750.00,1704,6651,,
6/11/2023,0,154,0,215,1999.00,63.71,"510,463",576.18,0,367870.00,1704,6685,,
6/12/2023,0,234,0,215,1860.00,59.38,"513,144",576.70,0,367589.00,1704,6060,,
6/13/2023,0,327,0,215,1868.00,62.38,"515,650",577.19,0,367148.00,1704,5594,,
6/14/2023,0,415,0,215,1755.00,57.88,"517,767",577.65,0,366346.00,1682,5042,,
6/15/2023,0,457,0,215,1878.00,62.04,"520,036",578.13,0,365785.00,1646,4625,,
6/16/2023,0,416,0,215,2306.00,31.86,"523,295",578.77,0,366146.00,1646,4053,,
6/17/2023,0,262,0,215,1596.00,50.20,"525,415",579.22,0,365464.00,1646,3615,,
6/18/2023,0,154,0,215,1286.00,48.00,"527,139",579.57,0,364345.00,1646,3034,,
6/19/2023,0,216,0,215,1127.00,50.84,"528,418",579.84,0,362792.00,1646,2613,,
6/20/2023,0,459,0,215,1390.00,63.97,"529,712",580.12,0,361279.00,1643,2634,,
6/21/2023,0,572,0,215,1379.00,68.46,"530,750",580.28,0,359496.00,1642,2645,,
6/22/2023,0,629,167,215,1489.00,45.26,"531,608",580.47,0,357597.00,1582,2628,,
6/23/2023,0,596,250,215,1456.00,61.29,"532,270",580.61,0,355863.00,1439,2603,,
6/24/2023,0,449,248,215,1516.00,60.45,"533,348",580.83,0,354724.00,1332,2612,,
6/25/2023,0,375,201,215,1344.00,67.17,"534,312",581.04,0,353545.00,1302,2609,,
6/26/2023,0,401,258,215,742.00,67.14,"533,917",580.95,0,350996.00,1301,3075,,
6/27/2023,0,583,517,215,1923.00,65.70,"534,993",581.18,0,350133.00,1191,5105,,
6/28/2023,0,696,575,215,1483.00,71.80,"534,844",581.15,0,348295.00,1073,6605,,
6/29/2023,0,774,534,215,1207.00,58.48,"534,101",580.99,0,346076.00,946,6596,,
6/30/2023,0,797,559,215,1328.00,73.85,"533,473",580.86,0,344290.00,814,6099,,
7/1/2023,0,547,604,215,1241.00,54.79,"533,116",580.79,0,342898.00,718,5610,,
7/2/2023,0,268,601,240,1320.00,49.49,"533,437",580.85,0,342357.00,669,5085,,
7/3/2023,0,315,701,240,964.00,43.49,"532,771",580.71,0,340928.00,619,4081,,
7/4/2023,0,478,733,240,770.00,51.89,"531,318",580.40,0,338777.00,600,3591,,
7/5/2023,0,610,668,240,1007.00,46.95,"530,211",580.23,0,337012.00,567,3608,,
7/6/2023,0,711,672,240,865.00,34.17,"528,640",579.89,0,334991.00,454,3607,,
